,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
31 -35 Tahun,Ibu rumah tangga,SMP,Jawa Timur,Rp2.500.000 - Rp5.000.000,Pregnancy+,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,3,3,3,2
20 - 25 Tahun,Ibu rumah tangga,Diploma,Jawa Barat,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,4,3,4,2,3,,2,4,4,3,4,,2,4,4,1,3,,3,4,4,4,4,,3,3,3,3,3,,3,3,2,4,4,,4,3,3,4,4,,4,4,2,1,1,,2,4,4,4,3,,2,3,4,1,3,,1,2,1,1,1,,3,3,4,4,4,4,,3,4,4,,4,4,3,4,4
31 -35 Tahun,Lainnya,SMA,Jawa Timur,Rp2.500.000 - Rp5.000.000,HaiBunda,> 2 Tahun,,3,3,3,4,4,,4,4,3,3,4,,3,2,2,2,4,,3,4,4,4,4,,4,4,4,4,4,,4,4,3,3,3,,3,3,3,3,3,,4,4,4,4,3,,4,4,4,4,4,,2,4,2,1,3,,3,3,3,3,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,Diploma,DKI Jakarta,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,4,3,4,4,4,,4,4,4,4,4,,4,2,2,3,4,,4,4,3,4,4,,4,4,4,2,4,,2,3,2,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,2,4,4,,2,1,4,1,2,,1,1,1,1,1,,4,3,3,3,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,PrimaKu,< 1 Tahun,,3,3,3,3,3,,3,4,4,3,3,,3,2,2,3,4,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,,2,3,2,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,2,3,2,2,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Sumatera Utara,Rp2.500.000 - Rp5.000.000,Teman Bumil,> 2 Tahun,,4,4,4,3,4,,4,4,4,4,4,,2,2,2,2,4,,4,4,4,4,4,,4,2,3,3,4,,3,2,2,4,4,,4,4,4,4,4,,4,4,4,4,3,,1,4,1,2,1,,2,2,1,1,3,,2,2,2,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,4,3,3,4,3,,4,3,3,4,4,,1,1,1,3,4,,3,4,2,4,4,,3,3,3,3,4,,3,2,2,3,2,,3,3,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,1,3,,2,2,2,1,1,,3,2,2,2,3,4,,3,4,4,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,> Rp10.000.000,Teman Bumil,< 1 Tahun,,3,4,4,3,3,,4,4,4,2,4,,3,3,3,3,3,,3,4,2,4,4,,3,3,3,3,4,,3,4,4,4,4,,3,4,3,4,3,,3,3,4,3,4,,2,3,2,4,3,,1,2,1,2,2,,2,2,2,2,2,,4,3,3,3,3,4,,4,4,4,,3,3,3,4,3
31 -35 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,Diploma,Sumatera Selatan,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,2,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,SMA,Sumatera Selatan,Rp1.000.000 - Rp2.500.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 – 35 tahun,Ibu rumah tangga,S1,Sumatera Barat,> Rp10.000.000,Tentang Anak,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 – 25 tahun,Ibu rumah tangga,SMA/SMK,Papua Selatan,Rp1.000.000 – Rp2.500.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,3,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,4,4,4,4,4
20 – 25 tahun,Ibu rumah tangga,SMA/SMK,Jawa Timur,Rp2.500.000 – Rp5.000.000,theAsianparent,< 1 Tahun,,4,3,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,1,1,4,1,,4,4,4,4,4,4,,4,4,4,,1,1,1,1,4
20 – 25 tahun,Ibu rumah tangga ,SMA/SMK,Jawa Barat,Rp2.500.000 – Rp5.000.000,Pregnancy+,1 – 2 Tahun,,4,4,4,2,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 – 25 tahun,Mahasiswa,SMA/SMK,Papua Selatan,Rp1.000.000 – Rp2.500.000,Pregnancy+,< 1 Tahun,,3,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,4,2,4,4,,1,3,2,1,3,,2,3,2,3,3,,4,4,4,3,1,3,,3,4,4,,3,3,3,3,3
> 35 tahun,Ibu rumah tangga,SMA/SMK,Papua Selatan,Rp1.000.000 – Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 tahun,IRT,Sarjana (S1),Jawa Barat,> Rp10.000.000,Pregnancy+,< 1 Tahun,,3,2,3,3,3,,3,4,3,4,3,,3,1,1,1,4,,3,3,2,4,4,,3,3,3,2,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,3,1,3,,3,3,2,2,1,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,3
31 – 35 tahun,Irt,Sarjana (S1),Jawa Barat,Rp1.000.000 – Rp2.500.000,Pregnancy+,< 1 Tahun,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,3,4,3,4,4,,3,3,3,3,3,,3,3,2,4,3,,2,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,2,3,2,2,2,,3,3,2,2,2,,3,4,3,2,2,3,,4,3,3,,4,4,3,3,4
20 – 25 tahun,IBU RUMAH TANGGA,SMA/SMK,Kalimantan Timur,Rp2.500.000 – Rp5.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,3,2,4,4,,3,2,1,1,4,,4,4,4,4,4,,4,4,4,2,3,4,,4,4,4,,4,4,3,4,4
31 – 35 tahun,Ibu Rumah Tangga,Sarjana (S1),Jawa Timur,Rp5.000.000 – Rp10.000.000,theAsianparent,> 2 Tahun,,4,3,4,4,4,,2,4,4,4,4,,2,2,2,2,4,,4,4,2,4,4,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,3,,1,3,2,4,4,,2,3,2,2,4,,4,4,4,3,4,,4,4,4,1,4,3,,4,4,4,,4,4,4,3,4
20 – 25 tahun,Honorer,Sarjana (S1),Jawa Barat,Rp2.500.000 – Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,3,4,4,3,,4,4,4,3,4,,4,3,3,4,3,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,3,4,3,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,3,3,3,3,3
20 – 25 tahun,Guru,Sarjana (S1),Banten,Rp5.000.000 – Rp10.000.000,Pregnancy+,< 1 Tahun,,4,2,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,2,2,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 – 30 tahun,Karyawan swasta,Sarjana (S1),Jawa Timur,Rp5.000.000 – Rp10.000.000,Flo,< 1 Tahun,,4,3,4,4,3,,4,3,3,4,4,,3,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,1,1,2,,4,4,4,2,4,4,,4,4,4,,4,4,4,4,4
20 – 25 tahun,Ibu rumah tangga,SMA/SMK,Jawa Barat,Rp2.500.000 – Rp5.000.000,Pregnancy+,< 1 Tahun,,4,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 – 30 tahun,Ibu Rumah Tangga,Sarjana (S1),Jawa Timur,Rp2.500.000 – Rp5.000.000,theAsianparent,< 1 Tahun,,4,2,4,4,4,,4,4,4,4,4,,2,2,2,2,4,,4,4,2,4,4,,4,4,4,4,4,,4,2,2,4,4,,2,4,4,4,4,,4,4,4,4,4,,2,2,2,2,2,,1,4,4,1,3,,2,1,1,1,1,,4,4,3,2,3,3,,4,4,4,,4,4,4,4,4
26 – 30 tahun,Ibu rumah tangga,SMA/SMK,Jawa Barat,Rp1.000.000 – Rp2.500.000,Tentang Anak,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 – 30 tahun,Ibu rumah tangga,SMA/SMK,Jawa Barat,Rp2.500.000 – Rp5.000.000,theAsianparent,< 1 Tahun,,3,3,4,3,3,,3,3,3,3,3,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,2,3,,3,3,3,3,3,,2,3,2,3,3,,3,3,3,2,2,3,,3,3,3,,3,3,3,3,3
26 – 30 tahun,Karyawan Swasta,Sarjana (S1),Jawa Timur,Rp5.000.000 – Rp10.000.000,Flo,1 – 2 Tahun,,3,4,3,3,2,,3,3,3,3,3,,3,3,3,4,2,,2,3,3,4,3,,3,3,3,2,2,,2,3,3,3,3,,3,3,2,3,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,3
31 – 35 tahun,ibu rumah tangga,SMA/SMK,Sumatera Utara,Rp1.000.000 – Rp2.500.000,HalloBumil,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,1,4,4,,4,4,4,,4,4,4,4,4
31 – 35 tahun,Karyawan,SMA/SMK,DKI Jakarta,Rp2.500.000 – Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,2,2,4,2,2,,4,4,4,4,4,,4,4,4,4,4,,4,4,1,2,2,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,2,1,,4,4,1,1,1,,1,1,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 – 25 tahun,Tata Usaha,Sarjana (S1),Jawa Barat,Rp1.000.000 – Rp2.500.000,Pregnancy+,< 1 Tahun,,4,2,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,2,3,3,,3,3,3,2,3,,3,3,3,3,3,,2,3,2,3,2,,3,3,3,3,3,,2,2,2,3,3,,3,3,2,2,2,,3,3,2,2,2,,3,3,3,3,2,3,,3,3,3,,3,2,2,2,3
> 35 tahun,Ibu Rumah Tangga,Sarjana (S1),Jawa Barat,Rp2.500.000 – Rp5.000.000,HalloBumil,< 1 Tahun,,3,2,3,2,3,,2,3,3,3,3,,3,2,2,2,3,,3,3,2,3,3,,3,3,3,2,3,,3,3,2,3,3,,3,3,3,3,2,,3,3,3,2,3,,2,2,2,3,3,,3,3,2,2,3,,2,2,2,2,2,,3,3,3,2,3,3,,3,3,3,,2,2,2,2,3
26 – 30 tahun,Apoteker ,Sarjana (S1),Papua Barat Daya,Rp1.000.000 – Rp2.500.000,Pregnancy+,< 1 Tahun,,3,2,4,3,3,,4,4,4,4,4,,2,2,2,2,4,,3,4,3,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,3,4,4,4,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,1,3,,3,3,3,3,3,,3,3,3,1,1,3,,3,3,3,,3,3,4,4,3
26 – 30 tahun,IRT,Sarjana (S1),Papua Barat,Rp2.500.000 – Rp5.000.000,Flo,< 1 Tahun,,4,3,4,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,3
31 – 35 tahun,Karyawan Swasta,Magister (S2),Daerah Istimewa Yogyakarta,Rp2.500.000 – Rp5.000.000,Pregnancy+,< 1 Tahun,,3,2,4,3,3,,3,4,4,3,2,,3,1,1,2,4,,3,3,2,4,4,,3,3,3,3,4,,3,4,3,3,3,,1,3,3,3,2,,4,4,4,3,4,,4,3,3,3,3,,3,4,2,3,2,,3,3,3,2,3,,4,3,2,2,3,2,,2,2,3,,3,3,3,3,3
20 – 25 tahun,Ibu rumah tangga ,SMA/SMK,Jawa Barat,Rp1.000.000 – Rp2.500.000,HalloBumil,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 – 30 tahun,Ibu rumah tangga,Diploma,Sulawesi Selatan,Rp2.500.000 – Rp5.000.000,theAsianparent,< 1 Tahun,,4,1,3,3,3,,3,3,3,4,3,,1,1,1,1,2,,3,3,2,4,4,,3,3,3,3,3,,3,3,3,3,3,,1,3,3,4,3,,3,3,3,3,3,,2,1,1,1,3,,2,3,2,2,2,,3,3,3,3,1,,2,2,2,1,2,2,,2,3,3,,3,3,2,4,3
26 – 30 tahun,ASN,Sarjana (S1),Kalimantan Barat,Rp2.500.000 – Rp5.000.000,Teman Bumil,> 2 Tahun,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,3,4,3,,4,4,3,3,3,,3,4,4,3,3,,3,3,3,3,3,,4,4,4,4,4,,2,2,3,3,3,,3,2,3,2,3,,2,2,2,2,1,,3,3,3,2,2,3,,3,3,3,,4,4,4,4,4
31 – 35 tahun,Guru,Sarjana (S1),Kalimantan Barat,Rp5.000.000 – Rp10.000.000,theAsianparent,1 – 2 Tahun,,4,3,3,3,3,,4,4,4,3,4,,4,4,4,3,4,,4,4,2,4,4,,4,4,4,4,4,,4,4,3,3,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,3,4,4,4,,3,3,3,4,3,3,,4,4,4,,4,4,3,4,3
26 – 30 tahun,Guru,Magister (S2),Kalimantan Barat,Rp2.500.000 – Rp5.000.000,Flo,1 – 2 Tahun,,3,2,3,3,3,,2,2,2,2,2,,2,2,2,2,3,,2,3,2,3,3,,2,2,2,2,1,,2,2,2,3,3,,3,3,2,2,2,,2,2,3,3,3,,3,2,3,3,3,,2,3,3,3,2,,3,3,3,3,3,,3,3,2,3,2,3,,3,2,3,,3,2,2,2,2
26 – 30 tahun,IRT,Sarjana (S1),Sulawesi Selatan,Rp1.000.000 – Rp2.500.000,Teman Bumil,< 1 Tahun,,3,3,4,4,4,,4,3,4,2,4,,4,4,3,3,4,,3,3,3,4,3,,4,4,4,4,4,,4,4,3,2,2,,2,3,3,4,4,,1,3,1,1,2,,1,2,2,2,2,,4,4,2,1,2,,1,2,2,1,4,,2,3,3,2,4,1,,3,4,3,,4,4,4,3,3
31 – 35 tahun,Karyawan Swasta,Sarjana (S1),Jawa Barat,Rp5.000.000 – Rp10.000.000,Teman Bumil,< 1 Tahun,,4,3,3,4,3,,4,4,3,4,4,,3,2,2,2,3,,3,4,3,4,4,,4,4,3,3,4,,4,3,2,4,2,,4,3,4,4,4,,4,4,4,4,3,,1,2,2,3,3,,2,3,1,1,1,,3,2,2,2,2,,2,2,2,2,2,4,,4,4,4,,3,3,2,3,3
26 – 30 tahun,Dokter umum,Sarjana (S1),Sumatera Utara,Rp5.000.000 – Rp10.000.000,Flo,> 2 Tahun,,4,1,4,4,4,,4,4,4,4,4,,1,1,1,2,4,,4,4,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,3,2,4
26 – 30 tahun,Ibu rumah tangga,SMA/SMK,Jawa Timur,Rp1.000.000 – Rp2.500.000,HalloBumil,< 1 Tahun,,3,3,3,4,4,,3,4,4,3,3,,3,3,3,4,3,,3,3,2,3,4,,4,4,4,4,4,,4,4,3,4,3,,2,3,3,4,3,,3,3,3,3,3,,3,3,3,3,4,,2,2,2,2,2,,3,3,3,3,3,,4,3,3,3,3,3,,3,4,3,,3,4,4,4,3
26 – 30 tahun,TNI,Sarjana (S1),DKI Jakarta,Rp5.000.000 – Rp10.000.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,3,,4,4,4,4,4,,4,3,3,4,4,,4,4,4,3,4,,3,3,2,2,3,,3,3,3,3,4,4,,4,4,4,,4,4,4,4,4
26 – 30 tahun,ibu rumah tangga ,SMA/SMK,Sulawesi Selatan,Rp2.500.000 – Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,4,4,4,3,4,,4,4,3,3,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,4,4,,4,4,4,4,4,,4,4,3,3,3,,4,3,3,3,4,,3,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 – 25 tahun,mahasiswa ,SMA/SMK,Banten,Rp1.000.000 – Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 – 35 tahun,Bidan,Diploma,Bali,Rp2.500.000 – Rp5.000.000,theAsianparent,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,3,,3,3,3,,4,3,3,3,3
31 – 35 tahun,Dosen,Magister (S2),Jawa Barat,> Rp10.000.000,Flo,< 1 Tahun,,4,1,3,3,3,,3,4,4,4,3,,2,2,1,1,3,,3,3,2,3,3,,3,3,4,3,2,,3,3,2,3,3,,4,4,3,3,3,,3,3,3,2,3,,2,2,2,3,3,,3,3,2,2,3,,2,2,2,1,1,,3,3,3,2,2,3,,3,3,3,,2,2,2,3,2
20 – 25 tahun,Pegawai Swasta,Sarjana (S1),Jawa Barat,> Rp10.000.000,Flo,> 2 Tahun,,4,3,4,3,4,,4,3,3,3,3,,3,3,3,3,4,,4,4,3,4,4,,3,4,4,3,3,,3,3,3,3,3,,4,4,4,3,3,,4,4,4,4,4,,3,3,3,3,3,,3,2,3,4,4,,3,3,3,3,3,,3,3,3,3,3,4,,4,4,3,,4,4,3,4,3
20 – 25 tahun,Ibu rumah tangga ,SMA/SMK,Jawa Barat,Rp5.000.000 – Rp10.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 – 30 tahun,IRT,Sarjana (S1),Jawa Barat,Rp2.500.000 – Rp5.000.000,Pregnancy+,1 – 2 Tahun,,4,1,4,4,4,,4,4,4,4,4,,4,1,1,4,3,,3,4,1,4,2,,3,3,3,3,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,3,3,3,,2,3,2,2,2,,3,3,3,2,2,,3,3,3,2,3,3,,3,3,3,,3,3,3,3,3
20 – 25 tahun,Wiraswasta ,Sarjana (S1),Jawa Timur,< Rp1.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,1,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,1,3,,3,3,3,3,3,,4,4,3,3,3,3,,3,3,3,,3,3,3,3,3
20 – 25 tahun,Pengusaha,SMA/SMK,Jawa Barat,Rp5.000.000 – Rp10.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,3,,2,3,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,2,4,1,4,,1,4,3,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,3,4,,4,4,4,2,4,,4,4,4,1,1,3,,3,4,4,,4,3,4,2,4
26 – 30 tahun,Tidak bekerja,Sarjana (S1),Riau,Rp2.500.000 – Rp5.000.000,Pregnancy+,< 1 Tahun,,3,2,4,3,3,,2,4,4,4,3,,3,2,2,1,2,,3,3,1,4,4,,4,4,3,3,3,,3,3,2,3,3,,2,3,3,3,2,,2,3,2,2,2,,2,2,2,2,2,,1,4,2,2,3,,2,2,2,2,2,,3,3,3,2,2,2,,3,3,3,,3,3,2,3,3
20 – 25 tahun,Ibu rumah tangga ,SMA/SMK,Jawa Barat,< Rp1.000.000,HalloBumil,< 1 Tahun,,3,3,3,2,3,,3,3,3,3,3,,3,3,2,3,3,,3,2,2,3,3,,3,3,3,2,3,,3,3,2,2,2,,3,3,2,3,3,,3,3,3,3,2,,2,3,2,3,3,,3,3,3,2,3,,2,3,2,2,2,,3,3,3,2,3,2,,3,3,3,,3,3,2,3,3
20 – 25 tahun,Karyawan Swasta,Diploma,Jawa Tengah,Rp1.000.000 – Rp2.500.000,Flo,> 2 Tahun,,3,3,3,3,2,,3,3,3,3,3,,3,2,3,2,3,,3,3,3,3,3,,3,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,3,3,2,3,,3,3,3,3,3,,2,2,2,2,2,2,,3,3,3,,3,3,3,3,3
31 – 35 tahun,Guru,Magister (S2),Jawa Timur,Rp2.500.000 – Rp5.000.000,HalloBumil,> 2 Tahun,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,1,2,3,3,,4,4,4,4,4,,4,4,4,4,4,,1,3,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 tahun,Swasta,Sarjana (S1),Jawa Timur,Rp5.000.000 – Rp10.000.000,Teman Bumil,< 1 Tahun,,4,2,3,4,4,,4,3,3,4,4,,1,1,1,1,3,,4,3,3,3,3,,3,3,2,3,2,,2,4,3,3,3,,2,3,3,3,3,,3,3,3,3,4,,2,2,2,2,2,,2,3,1,2,2,,3,3,3,1,1,,3,3,3,4,3,3,,3,3,3,,3,3,3,2,3
31 – 35 tahun,Guru,Sarjana (S1),Jawa Timur,Rp2.500.000 – Rp5.000.000,Pregnancy+,< 1 Tahun,,4,2,4,2,3,,4,4,4,4,3,,2,2,2,3,4,,3,4,3,4,3,,4,4,3,3,3,,3,4,4,3,3,,4,3,3,4,4,,4,4,4,4,4,,2,2,2,4,3,,2,3,3,2,2,,4,2,3,2,2,,3,3,4,4,3,4,,4,4,3,,4,4,2,3,3
31 – 35 tahun,Ibu rumah tangga ,Sarjana (S1),Jawa Tengah,Rp2.500.000 – Rp5.000.000,theAsianparent,1 – 2 Tahun,,3,1,3,2,2,,4,3,3,3,2,,1,1,1,2,3,,3,3,3,3,3,,3,2,2,3,3,,2,2,2,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,2,2,2,3,3
20 – 25 tahun,Ibu rumah tangga,SMP,Jawa Barat,Rp2.500.000 – Rp5.000.000,Pregnancy+,< 1 Tahun,,4,3,4,3,3,,3,4,4,4,3,,3,3,4,3,3,,3,3,3,4,4,,3,4,4,3,3,,3,3,3,3,3,,3,3,3,3,4,,3,2,3,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,2,3,3,,3,3,3,,4,4,3,4,4
